COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
25386,10834,0,0,0,10,3,16,0,0,3
25394,3868,1,0,0,186,0,4,0,0,3
25398,4223,16,0,0,1,0,4,0,0,274
25402,7175,0,0,0,4,0,2,0,0,8
25407,6623,0,0,0,1,0,7,0,0,0
25426,3658,0,1,0,0,0,0,0,0,815
25430,4097,0,1,0,12,0,7,0,0,4
25436,843,0,0,0,0,0,0,0,0,1681
25438,1807,0,6,0,1269,30,0,0,0,0
25473,1584,0,42,0,1,0,3,0,0,0
25483,260,0,0,0,0,0,0,0,0,284
25486,3656,0,0,0,0,0,6,0,0,0
25488,3080,3,32,11,0,0,12,0,0,16
25489,2070,0,0,0,0,0,0,0,0,9
25491,3300,0,0,0,0,0,0,0,0,8
25506,2274,0,2,0,505,0,1,0,0,0
25513,10957,2,0,0,27,0,4,0,0,22
25518,619,0,0,0,2308,0,1,0,0,65
25524,3555,4,0,0,62,3,12,0,0,42
25530,2346,0,15,0,451,13,5,0,0,0
25535,5749,0,0,0,14,0,0,0,0,7
25572,1967,0,29,0,557,33,18,0,0,0
25580,1607,0,0,4,6,0,6,0,0,300
25592,3273,0,0,0,0,0,0,0,0,0
25594,2633,0,0,0,0,0,0,0,0,19
25596,4723,0,0,0,0,0,10,0,0,14
25599,3890,11,4,3,11,1,83,0,0,11
25612,3391,34,0,0,0,0,10,0,0,0
25645,7923,0,5,0,4,0,2,0,0,0
25649,2904,0,0,0,1253,0,5,0,0,17
25653,2409,0,2,0,740,0,0,0,0,0
25658,5385,0,0,0,0,0,4,0,0,0
25662,2748,0,0,0,1,0,4,0,0,632
25718,6709,0,0,0,6,0,0,0,0,0
25736,5078,0,0,0,0,0,0,0,0,15
